feature,importance,rank
MonthlyIncome,0.07301612045749695,1
Age,0.0689379234745927,2
TotalWorkingYears,0.05492807808685546,3
DailyRate,0.054352369476078986,4
OverTime,0.04973775821284486,5
YearsAtCompany,0.04802539459536087,6
HourlyRate,0.04722677212862567,7
DistanceFromHome,0.045605223213016695,8
MonthlyRate,0.045183124141951234,9
YearsWithCurrManager,0.04277958859084275,10
NumCompaniesWorked,0.040118378208026224,11
JobRole,0.03456538420489863,12
StockOptionLevel,0.033329939303312454,13
YearsInCurrentRole,0.03268414740732793,14
PercentSalaryHike,0.03263759286447014,15
JobSatisfaction,0.02783200336653039,16
EnvironmentSatisfaction,0.026315793966697948,17
JobLevel,0.025877081791709458,18
RelationshipSatisfaction,0.0239696285487404,19
TrainingTimesLastYear,0.023391300710226565,20
JobInvolvement,0.023020619596527205,21
WorkLifeBalance,0.02253236694566951,22
YearsSinceLastPromotion,0.022019780343804196,23
MaritalStatus,0.02050957397043465,24
Education,0.02019032221435154,25
EducationField,0.01952628899897818,26
Department,0.014268097009477818,27
BusinessTravel,0.01378738475632279,28
Gender,0.008820642081207563,29
PerformanceRating,0.004811321333620068,30
